il,plaka,yil,Hastane Sayısı - Ölçüm bazında,Hastane Yatak Sayısı - Ölçüm bazında,Sağlık Personeli Sayısı - 1. (Uzman Hekim),Sağlık Personeli Sayısı - 2. (Pratisyen Hekim),Sağlık Personeli Sayısı - 3. (Asistan Hekim),Sağlık Personeli Sayısı - 4. (Diş Hekimi),Sağlık Personeli Sayısı - 5. (Hemşire),Sağlık Personeli Sayısı - 6. (Ebe),Sağlık Personeli Sayısı - 7. (Eczacı),Sağlık Personeli Sayısı - 98. (Diğer Sağlık Personeli),"İbbs-Düzey1, İbbs-Düzey2, İl Ve İlçe Nüfusları","İbbs-Düzey1, İbbs-Düzey2, İl Ve İlçe Nüfusları - Köy","İbbs-Düzey1, İbbs-Düzey2, İl Ve İlçe Nüfusları - Ölçüm bazında","İbbs-Düzey1, İbbs-Düzey2, İl Ve İlçe Nüfusları - Şehir"
Tekirdağ,59,2025,,,,,,,,,,,1208441.0,,,
Tokat,60,2025,,,,,,,,,,,205411.0,,,
Trabzon,61,2025,,,,,,,,,,,823323.0,,,
Tunceli,62,2025,,,,,,,,,,,28045.0,,,
Şanlıurfa,63,2025,,,,,,,,,,,2265800.0,,,
Uşak,64,2025,,,,,,,,,,,85698.0,,,
Van,65,2025,,,,,,,,,,,1112013.0,,,
Yozgat,66,2025,,,,,,,,,,,136663.0,,,
Zonguldak,67,2025,,,,,,,,,,,209455.0,,,
Aksaray,68,2025,,,,,,,,,,,113802.0,,,
Bayburt,69,2025,,,,,,,,,,,28207.0,,,
Karaman,70,2025,,,,,,,,,,,60301.0,,,
Kırıkkale,71,2025,,,,,,,,,,,33495.0,,,
Batman,72,2025,,,,,,,,,,,105212.0,,,
Şırnak,73,2025,,,,,,,,,,,181684.0,,,
Bartın,74,2025,,,,,,,,,,,103892.0,,,
Ardahan,75,2025,,,,,,,,,,,49547.0,,,
Iğdır,76,2025,,,,,,,,,,,82932.0,,,
Yalova,77,2025,,,,,,,,,,,86155.0,,,
Karabük,78,2025,,,,,,,,,,,55693.0,,,
Kilis,79,2025,,,,,,,,,,,31589.0,,,
Osmaniye,80,2025,,,,,,,,,,,122743.0,,,
Düzce,81,2025,,,,,,,,,,,122186.0,,,
